rank,german,dutch,dutch_alt,dutch_article,pos,lemma_used,match_type,frequency,per_million
2043,blöde,stom,stompzinnig,,Adjektiv,blöd,lemma,5259,33.67
2044,mond,maan,Maan,de,Substantiv,,direct,5253,33.64
2045,ergibt,voortbrengen,,,Verb,ergeben,lemma,5251,33.62
2046,daten,data,,,Substantiv,,direct,5246,33.59
2047,merken,onthouden,bemerken; merken,,Verb,,direct,5240,33.55
2048,schande,schande,oneer,,Substantiv,,direct,5235,33.52
2049,fuck,,,,,,none,5233,33.51
2050,fühlte,voelen,,,Verb,fühlen,lemma,5231,33.50
2051,jenny,,,,,,none,5231,33.50
2052,sieg,overwinning,zege,de,Substantiv,,direct,5231,33.50
2053,satt,verzadigd,vol; zat; zelfgenoegzaam,,Adjektiv,,direct,5229,33.48
2054,blödsinn,flauwekul,,de,Substantiv,,direct,5227,33.47
2055,adam,Adam,,,Substantiv,,direct,5226,33.46
2056,lisa,,,,,,none,5226,33.46
2057,pfund,pond,,het,Substantiv,,direct,5223,33.44
2058,handeln,handelen,onderhandelen; betreffen,,Verb,,direct,5222,33.44
2059,lois,,,,,,none,5221,33.43
2060,enden,beëindigen,,,Verb,,direct,5221,33.43
2061,warm,warm,,,Adjektiv,,direct,5215,33.39
2062,raten,adviseren,,,Verb,,direct,5212,33.37
2063,übersetzung,vertaling,overbrenging; overbrengingsverhouding,de,Substantiv,,direct,5207,33.34
2064,kunst,kunst,,de,Substantiv,,direct,5207,33.34
2065,kapitän,kapitein,aanvoerder,de,Substantiv,,direct,5200,33.30
2066,desto,des te,,,Konjunktion,,direct,5200,33.30
2067,einsatz,parool,wachtwoord,,Substantiv,,direct,5197,33.28
2068,schweigen,zwijgen,,,Verb,,direct,5195,33.27
2069,krankheit,ziekte,aandoening,,Substantiv,,direct,5193,33.25
2070,toller,leuk,,,Adjektiv,toll,lemma,5189,33.23
2071,schatten,schaduw,,,Substantiv,,direct,5188,33.22
2072,wachen,toezien,,,Verb,,direct,5187,33.21
2073,tatsache,feit,,,Substantiv,,direct,5181,33.18
2074,eric,,,,,,none,5179,33.16
2075,stock,stok,,de,Substantiv,,direct,5178,33.16
2076,chief,,,,,,none,5176,33.14
2077,hingehen,heengaan,,,Verb,,direct,5172,33.12
2078,verboten,verboden,,,Adjektiv,,direct,5167,33.09
2079,gäbe,geven,zijn; verstrekken; bestaan,,Verb,geben,lemma,5165,33.07
2080,anzug,kostuum,,,Substantiv,,direct,5163,33.06
2081,leichen,lijk,,,Substantiv,Leiche,lemma,5162,33.05
2082,high,high,,,Adjektiv,,direct,5155,33.01
2083,beendet,afgelopen,,,Adjektiv,,direct,5153,33.00
2084,freitag,vrijdag,vrije dag,de,Substantiv,,direct,5148,32.96
2085,million,miljoen,,,Substantiv,,direct,5143,32.93
2086,verflucht,vervloekt,,,Adjektiv,,direct,5136,32.89
2087,dunkel,donker,,,Adjektiv,,direct,5134,32.87
2088,geb,geven,zijn; verstrekken; bestaan,,Verb,geben,lemma,5126,32.82
2089,enttäuscht,teleurgesteld,,,Adjektiv,,direct,5125,32.82
2090,klopfen,kloppen,tikken,,Verb,,direct,5125,32.82
2091,spuren,gehoorzamen,,,Verb,,direct,5124,32.81
2092,dreck,vuil,,,Substantiv,,direct,5120,32.78
2093,seiten,zijde,kant; site,,Substantiv,Seite,lemma,5118,32.77
2094,mühe,moeite,,de,Substantiv,,direct,5114,32.75
2095,gezogen,trekken,,,Verb,ziehen,lemma,5113,32.74
2096,brian,,,,,,none,5109,32.71
2097,kontrollieren,controleren,,,Verb,,direct,5107,32.70
2098,knochen,bot,been; Tiengaatssleutel,de,Substantiv,,direct,5104,32.68
2099,schick,elegant,,,Adjektiv,,direct,5102,32.67
2100,getrennt,scheiden,,,Verb,trennen,lemma,5101,32.66
2101,programm,programma,,het,Substantiv,,direct,5099,32.65
2102,grab,graf,,,Substantiv,,direct,5097,32.64
2103,ebenso,evenzo,effe; even,,Adverb,,direct,5095,32.62
2104,trage,draagbaar,brancard,,Substantiv,,direct,5095,32.62
2105,nachbarn,buurman,buur,de,Substantiv,Nachbar,lemma,5091,32.60
2106,bieten,bieden,,,Verb,,direct,5090,32.59
2107,bestes,goed,,,Adjektiv,gut,lemma,5085,32.56
2108,elizabeth,,,,,,none,5084,32.55
2109,fuhr,rijden,,,Verb,fahren,lemma,5082,32.54
2110,verlässt,verlaten,weggaan,,Verb,verlassen,lemma,5077,32.51
2111,freundlich,vriendelijk,aardig,,Adjektiv,,direct,5073,32.48
2112,dennoch,toch,desondanks,,Konjunktionaladverb,,direct,5072,32.48
2113,rauchen,roken,smoren,,Verb,,direct,5072,32.48
2114,dick,dik,,,Adjektiv,,direct,5066,32.44
2115,stuhl,stoel,zetel,de,Substantiv,,direct,5062,32.41
2116,dreh,beurt,,,Substantiv,,direct,5061,32.41
2117,bester,best,,de,Substantiv,,direct,5061,32.41
2118,schicke,sturen,,,Verb,schicken,lemma,5059,32.39
2119,vergeben,vergeven,,,Verb,,direct,5058,32.39
2120,ausgehen,uitgaan,,,Verb,,direct,5058,32.39
2121,behandeln,behandelen,,,Verb,,direct,5058,32.39
2122,trotz,niettegenstaande,desondanks; niettemin; nochtans,,Präposition,,direct,5054,32.36
2123,gast,gast,,de,Substantiv,,direct,5053,32.36
2124,ändert,wijzigen,,,Verb,ändern,lemma,5052,32.35
2125,passierte,gebeuren,,,Verb,passieren,lemma,5052,32.35
2126,toilette,toilet,wc; urinoir,,Substantiv,,direct,5043,32.29
2127,annehmen,aanvaarden,veronderstellen; accepteren,,Verb,,direct,5041,32.28
2128,herzlichen,joviaal,hartelijk,,Adjektiv,herzlich,lemma,5039,32.27
2129,hexe,heks,,de,Substantiv,,direct,5039,32.27
2130,erwachsen,volwassen,,,Adjektiv,,direct,5037,32.25
2131,jerry,,,,,,none,5016,32.12
2132,pistole,pistool,,,Substantiv,,direct,5014,32.11
2133,saß,zitten,,,Verb,sitzen,lemma,5013,32.10
2134,dreht,draaien,,,Verb,drehen,lemma,5012,32.09
2135,aussage,verklaring,,de,Substantiv,,direct,5010,32.08
2136,liebte,liefhebben,houden van,,Verb,lieben,lemma,5006,32.05
2137,street,,,,,,none,5006,32.05
2138,genießen,genieten,,,Verb,,direct,5006,32.05
2139,eifersüchtig,jaloers,,,Adjektiv,,direct,5002,32.03
2140,derjenige,dat,,,Demonstrativpronomen,,direct,5001,32.02
2141,teuer,duur,dierbaar,,Adjektiv,,direct,4999,32.01
2142,leo,Leo,,,Substantiv,,direct,4999,32.01
2143,zähne,gebit,,,,,direct,4991,31.96
2144,beobachtet,,,,,,none,4988,31.94
2145,gentlemen,gentleman,,,Substantiv,Gentleman,lemma,4986,31.93
2146,wählen,kiezen,verkiezen,,Verb,,direct,4986,31.93
2147,helft,helpen,bijstaan,,Verb,helfen,lemma,4985,31.92
2148,fliegt,vliegen,,,Verb,fliegen,lemma,4983,31.91
2149,theater,theater,schouwburg,,Substantiv,,direct,4982,31.90
2150,regen,regen,,de,Substantiv,,direct,4981,31.89
2151,feinde,,,,,,none,4981,31.89
2152,william,,,,,,none,4979,31.88
2153,erlauben,toestaan,veroorloven,,Verb,,direct,4975,31.86
2154,zulassen,toelaten,,,Verb,,direct,4971,31.83
2155,schnappen,pakken,,,Verb,,direct,4962,31.77
2156,komplett,volledig,compleet; allesomvattend,,Adjektiv,,direct,4962,31.77
2157,panik,paniek,,,Substantiv,,direct,4961,31.77
2158,flughafen,luchthaven,vliegveld; vlieghaven,,Substantiv,,direct,4960,31.76
2159,bewusst,bewust,,,Adjektiv,,direct,4958,31.75
2160,deutschen,Duits,,,,,direct,4958,31.75
2161,voraus,vooruit,,,Adverb,,direct,4953,31.72
2162,sterbe,sterven,doodgaan,,Verb,sterben,lemma,4948,31.68
2163,solltet,moeten,zullen,,Verb,sollen,lemma,4941,31.64
2164,begleiten,begeleiden,,,Verb,,direct,4940,31.63
2165,einander,elkaar,,,Reziprokpronomen,,direct,4935,31.60
2166,fred,,,,,,none,4935,31.60
2167,erlebt,,,,,,none,4934,31.59
2168,weiterhin,continueren,,,Adverb,,direct,4925,31.54
2169,stärker,sterk,krachtig,,Adjektiv,stark,lemma,4922,31.52
2170,fahrer,bestuurder,chauffeur,de,Substantiv,,direct,4921,31.51
2171,konzentrieren,concentreren,,,Verb,,direct,4919,31.50
2172,streiten,bakkeleien,,,Verb,,direct,4918,31.49
2173,angeht,aanpakken,,,Verb,angehen,lemma,4917,31.49
2174,selben,,,,,,none,4914,31.47
2175,star,spreeuw,vedette; ster,,Substantiv,,direct,4912,31.45
2176,überzeugen,overtuigen,,,Verb,,direct,4906,31.41
2177,alkohol,alcohol,,de,Substantiv,,direct,4903,31.40
2178,übersetzt,,,,,,none,4903,31.40
2179,verrückte,,,,,,none,4902,31.39
2180,lch,,,,,,none,4902,31.39
2181,king,,,,,,none,4902,31.39
2182,begann,beginnen,ingaan; van start gaan,,Verb,beginnen,lemma,4898,31.36
2183,angenommen,aanvaarden,veronderstellen; accepteren,,Verb,annehmen,lemma,4897,31.36
2184,weitermachen,doorgaan,,,Verb,,direct,4895,31.34
2185,echter,echt,echte,,Adjektiv,echt,lemma,4888,31.30
2186,jackson,,,,,,none,4876,31.22
2187,post,post,,de,Substantiv,,direct,4873,31.20
2188,mitgenommen,meenemen,,,Verb,mitnehmen,lemma,4872,31.20
2189,botschaft,ambassade,boodschap,de,Substantiv,,direct,4872,31.20
2190,ideen,idee,notie,,Substantiv,Idee,lemma,4870,31.18
2191,fehlen,ontbreken,mankeren; schorten,,Verb,,direct,4868,31.17
2192,aufgeregt,opgewonden,,,Adjektiv,,direct,4868,31.17
2193,selbstmord,zelfmoord,,,Substantiv,,direct,4866,31.16
2194,dumme,dom,suf,,Adjektiv,dumm,lemma,4866,31.16
2195,zurückkommen,terugkomen,,,Verb,,direct,4859,31.11
2196,irgendein,enkele,,,Indefinitpronomen,,direct,4858,31.11
2197,magie,tovenarij,,,Substantiv,,direct,4855,31.09
2198,phil,,,,,,none,4855,31.09
2199,schlage,verslaan,slaan; kloppen; vechten,,Verb,schlagen,lemma,4854,31.08
2200,handelt,handelen,onderhandelen; betreffen,,Verb,handeln,lemma,4853,31.08
2201,treffe,treffen,,,Substantiv,treffen,lemma,4846,31.03
2202,untersuchen,onderzoeken,,,Verb,,direct,4846,31.03
2203,flucht,vlucht,,,Substantiv,,direct,4844,31.02
2204,verliert,verliezen,,,Verb,verlieren,lemma,4841,31.00
2205,irgendeine,enkele,,,Indefinitpronomen,irgendein,lemma,4839,30.99
2206,gegenteil,tegenovergestelde,,,Substantiv,,direct,4837,30.97
2207,betrifft,,,,,,none,4837,30.97
2208,scharf,scherp,,,Adjektiv,,direct,4834,30.95
2209,gehofft,hopen,,,Verb,hoffen,lemma,4831,30.93
2210,kennengelernt,kennismaken,,,Verb,kennenlernen,lemma,4831,30.93
2211,schlimmste,slecht,,,Adjektiv,schlimm,lemma,4824,30.89
2212,projekt,project,,,Substantiv,,direct,4819,30.86
2213,trottel,eikel,,de,Substantiv,,direct,4819,30.86
2214,immerhin,althans,tenminste,,Adverb,,direct,4813,30.82
2215,mehrere,meerdere,,,Indefinitpronomen,,direct,4811,30.81
2216,erwarte,verwachten,,,Verb,erwarten,lemma,4809,30.79
2217,mochte,mogen,,,Verb,mögen,lemma,4808,30.79
2218,schwimmen,zwemmen,drijven; vervagen; vervloeien,,Verb,,direct,4805,30.77
2219,zählen,tellen,,,Verb,,direct,4804,30.76
2220,innerhalb,binnen,,,Präposition,,direct,4801,30.74
2221,matt,mat,schaakmat,,Substantiv,,direct,4801,30.74
2222,blind,blind,,,Adjektiv,,direct,4799,30.73
2223,schwestern,zuster,zus,de,Substantiv,Schwester,lemma,4797,30.72
2224,code,code,,,Substantiv,,direct,4794,30.70
2225,alan,,,,,,none,4794,30.70
2226,schlau,sluw,gewiekst; snugger,,Adjektiv,,direct,4792,30.68
2227,absicht,opzet,voornemen,de,Substantiv,,direct,4789,30.67
2228,barry,,,,,,none,4787,30.65
2229,spielst,spelen,meespelen,,Verb,spielen,lemma,4782,30.62
2230,zuletzt,last,,,Adverb,,direct,4780,30.61
2231,oliver,Oliver,,,Substantiv,,direct,4779,30.60
2232,englisch,Engels,,het,Substantiv,,direct,4778,30.59
2233,ohr,oor,,het,Substantiv,,direct,4773,30.56
2234,verletzen,kwetsen,schofferen; overtreden,,Verb,,direct,4772,30.56
2235,song,lied,,het,Substantiv,,direct,4766,30.52
2236,schüler,scholier,,,Substantiv,,direct,4763,30.50
2237,schien,schijnen,,,Verb,scheinen,lemma,4762,30.49
2238,gewinnt,winnen,,,Verb,gewinnen,lemma,4761,30.49
2239,älter,oud,,,Adjektiv,alt,lemma,4757,30.46
2240,merkwürdig,raar,,,Adjektiv,,direct,4756,30.45
2241,judy,,,,,,none,4756,30.45
2242,vermisse,missen,betreuren,,Verb,vermissen,lemma,4756,30.45
2243,größe,maat,grootheid,,Substantiv,,direct,4754,30.44
2244,tritt,schop,stap,de,Substantiv,,direct,4751,30.42
2245,trauen,trouwen,rekenen op; vertrouwen hebben; durven,,Verb,,direct,4748,30.40
2246,präsidenten,president,,,Substantiv,Präsident,lemma,4746,30.39
2247,trick,kneep,truc; truuk,,Substantiv,,direct,4745,30.38
2248,harvey,,,,,,none,4744,30.38
2249,doug,,,,,,none,4742,30.36
2250,roten,rood,ros,,Adjektiv,rot,lemma,4739,30.35
2251,überlegt,,,,,,none,4736,30.33
2252,größten,groot,volwassene,,Adjektiv,groß,lemma,4734,30.31
2253,sonntag,zondag,,de,Substantiv,,direct,4733,30.31
2254,zwölf,twaalf,,,Numerale,,direct,4730,30.29
2255,vorstellung,idee,,,Substantiv,,direct,4728,30.27
2256,schrieb,schrijven,,,Verb,schreiben,lemma,4723,30.24
2257,reinkommen,,,,,,none,4723,30.24
2258,killer,moordenaar,,de,Substantiv,,direct,4722,30.24
2259,unterstützung,ondersteuning,,de,Substantiv,,direct,4721,30.23
2260,antun,kleden,,,Verb,,direct,4721,30.23
2261,rechnung,rekening,nota,,Substantiv,,direct,4719,30.22
2262,dieselbe,,,,,,none,4718,30.21
2263,verändern,veranderen,,,Verb,,direct,4711,30.17
2264,möglicherweise,mogelijk,,,Adverb,,direct,4709,30.15
2265,definitiv,definitief,,,Adjektiv,,direct,4707,30.14
2266,locker,los,doorlaatbaar; ontspannen; lichtvaardig,,Adjektiv,,direct,4705,30.13
2267,ed,,,,,,none,4703,30.11
2268,vincent,,,,,,none,4702,30.11
2269,ums,,,,,,none,4700,30.10
2270,abends,'s avonds,,,,,direct,4696,30.07
2271,frisch,fris,vers,,Adjektiv,,direct,4694,30.06
2272,kohle,kool,steenkool,de,Substantiv,,direct,4689,30.03
2273,fing,tikkertje,krijgertje; pakkertje,,Substantiv,fangen,lemma,4689,30.03
2274,hure,hoer,,,Substantiv,,direct,4686,30.01
2275,cousin,neef,,de,Substantiv,,direct,4685,30.00
2276,familien,familie,gezin,de,Substantiv,Familie,lemma,4685,30.00
2277,einsam,eenzaam,enig,,Adjektiv,,direct,4683,29.99
2278,lebendig,levend,,,Adjektiv,,direct,4681,29.97
2279,heiligen,foutloos,,,Verb,,direct,4677,29.95
2280,knapp,krap,schaars,,Adjektiv,,direct,4675,29.94
2281,ebenfalls,eveneens,evenzeer; evenzoo,,Adverb,,direct,4672,29.92
2282,überprüft,,,,,,none,4671,29.91
2283,artikel,artikel,lidwoord,,Substantiv,,direct,4670,29.90
2284,gesetzt,zetten,zitten; neerzitten,,Verb,setzen,lemma,4669,29.90
2285,jederzeit,altijd,,,Adverb,,direct,4662,29.85
2286,kompliziert,ingewikkeld,,,Adjektiv,,direct,4661,29.85
2287,spüren,aanvoelen,,,Verb,,direct,4652,29.79
2288,signal,sein,teken,,Substantiv,,direct,4652,29.79
2289,amy,,,,,,none,4651,29.78
2290,stich,steek,,de,Substantiv,,direct,4650,29.78
2291,kino,bioscoop,cinema,,Substantiv,,direct,4643,29.73
2292,probieren,proberen,,,Verb,,direct,4642,29.72
2293,tode,dood,overlijden,,Substantiv,Tod,lemma,4640,29.71
2294,wundervoll,geweldig,,,Adjektiv,,direct,4639,29.70
2295,tanz,dans,,de,Substantiv,,direct,4638,29.70
2296,geöffnet,open,,,Adjektiv,,direct,4638,29.70
2297,kerle,kerel,vent; pik,,Substantiv,Kerl,lemma,4635,29.68
2298,begraben,begraven,,,Verb,,direct,4631,29.65
2299,prozent,procent,,,Substantiv,,direct,4629,29.64
2300,stoppen,stoppen,,,Verb,,direct,4626,29.62
2301,hoheit,hoogheid,soevereiniteit,,Substantiv,,direct,4622,29.60
2302,riesen,reus,,de,Substantiv,Riese,lemma,4619,29.58
2303,rote,rood,ros,,Adjektiv,rot,lemma,4610,29.52
2304,zugang,toegang,,de,Substantiv,,direct,4610,29.52
2305,liest,lezen,oppikken,,Verb,lesen,lemma,4602,29.47
2306,vorn,voorop,,,Lokaladverb,,direct,4601,29.46
2307,wichtige,belangrijk,,,Adjektiv,wichtig,lemma,4600,29.46
2308,aufmachen,openen,opendoen; openmaken,,Verb,,direct,4596,29.43
2309,kelly,,,,,,none,4596,29.43
2310,sexy,sexy,,,Adjektiv,,direct,4595,29.42
2311,erlaubnis,verlof,,,Substantiv,,direct,4592,29.40
2312,grace,,,,,,none,4591,29.40
2313,big,,,,,,none,4587,29.37
2314,story,bericht,,,Substantiv,,direct,4583,29.35
2315,madam,,,,,,none,4581,29.33
2316,leichter,lichter,,,Substantiv,,direct,4568,29.25
2317,halben,half,,,Adjektiv,halb,lemma,4567,29.24
2318,filme,filmen,,,Verb,filmen,lemma,4567,29.24
2319,priester,priester,,de,Substantiv,,direct,4563,29.22
2320,herauszufinden,doorhebben,,,Verb,herausfinden,lemma,4562,29.21
2321,packen,inpakken,,,Verb,,direct,4561,29.21
2322,dritte,derde,,,Adjektiv,,direct,4559,29.19
2323,inzwischen,intussen,,,Temporaladverb,,direct,4557,29.18
2324,larry,,,,,,none,4551,29.14
2325,presse,pers,,,Substantiv,,direct,4548,29.12
2326,sitze,zitten,,,Verb,sitzen,lemma,4548,29.12
2327,machten,doen,maken,,Verb,machen,lemma,4547,29.12
2328,geklaut,jatten,stelen,,Verb,klauen,lemma,4546,29.11
2329,helden,held,,de,Substantiv,Held,lemma,4543,29.09
2330,susan,,,,,,none,4541,29.08
2331,geduld,geduld,,,Substantiv,,direct,4537,29.05
2332,bühne,toneel,podium; bühne,,Substantiv,,direct,4537,29.05
2333,reparieren,herstellen,,,Verb,,direct,4535,29.04
2334,hä,hè,,,Interjektion,,direct,4531,29.01
2335,usa,VS,,,Abkürzung,,direct,4525,28.97
2336,gerechtigkeit,rechtvaardigheid,gerechtigheid,,Substantiv,,direct,4524,28.97
2337,fälle,vellen,,,Verb,fällen,lemma,4519,28.94
2338,selten,zelden,zeldzaam; schaars,,Adjektiv,,direct,4519,28.94
2339,anrufe,opbellen,bellen; aanroepen; inroepen,,Verb,anrufen,lemma,4518,28.93
2340,unterschreiben,ondertekenen,onderschrijven,,Verb,,direct,4517,28.92
2341,julia,Julie,,,Substantiv,,direct,4516,28.92
2342,drücken,duwen,,,Verb,,direct,4513,28.90
2343,mrs,,,,,,none,4511,28.89
2344,lügner,leugenaar,jokkebrok,,Substantiv,,direct,4508,28.87
2345,endet,beëindigen,,,Verb,enden,lemma,4503,28.83
2346,dave,,,,,,none,4502,28.83
2347,medizin,geneeskunde,,de,Substantiv,,direct,4502,28.83
2348,schreibe,kraal,,,Substantiv,,direct,4502,28.83
2349,verhaften,aanhouden,,,Verb,,direct,4500,28.81
2350,prozess,proces,,,Substantiv,,direct,4499,28.81
2351,samstag,zaterdag,,de,Substantiv,,direct,4494,28.78
2352,amen,amen,,,Substantiv,,direct,4491,28.76
2353,motor,motor,,de,Substantiv,,direct,4486,28.73
2354,marie,Marieke,Mariën,,Substantiv,,direct,4485,28.72
2355,abhauen,opsodemieteren,,,Verb,,direct,4482,28.70
2356,chaos,chaos,,,Substantiv,,direct,4482,28.70
2357,schönheit,schoonheid,,,Substantiv,,direct,4482,28.70
2358,beinahe,bijna,haast,,Adverb,,direct,4471,28.63
2359,lebst,leven,,,Substantiv,leben,lemma,4468,28.61
2360,tolles,leuk,,,Adjektiv,toll,lemma,4466,28.60
2361,anhalten,stoppen,,,Verb,,direct,4466,28.60
2362,fremden,vreemd,andermans,,Adjektiv,fremd,lemma,4463,28.58
2363,hof,erf,hof; hoeve,,Substantiv,,direct,4463,28.58
2364,akzeptieren,aanvaarden,aksepteren,,Verb,,direct,4462,28.57
2365,norden,noorden,noord,,Substantiv,,direct,4457,28.54
2366,ärzte,arts,dokter; geneesheer; medicus,de,Substantiv,Arzt,lemma,4455,28.53
2367,anziehen,aantrekken,,,Verb,,direct,4454,28.52
2368,dingen,als onderpand geven,,,Verb,,direct,4454,28.52
2369,umgehen,vermijden,waren,,Verb,,direct,4453,28.51
2370,bauch,buik,,de,Substantiv,,direct,4452,28.51
2371,gesamte,geheel,heel,,Adjektiv,gesamt,lemma,4449,28.49
2372,hübsche,mooi,,,Adjektiv,hübsch,lemma,4449,28.49
2373,ertragen,dragen,,,Verb,,direct,4448,28.48
2374,kiste,kist,,,Substantiv,,direct,4445,28.46
2375,brennt,branden,verbranden,,Verb,brennen,lemma,4443,28.45
2376,teile,delen,verdelen,,Verb,teilen,lemma,4443,28.45
2377,deckung,dekking,,de,Substantiv,,direct,4439,28.42
2378,landen,landen,,,Verb,,direct,4433,28.39
2379,berg,berg,,de,Substantiv,,direct,4430,28.37
2380,straßen,straat,weg,de,Substantiv,Straße,lemma,4429,28.36
2381,aufgenommen,opnemen,,,Verb,aufnehmen,lemma,4427,28.35
2382,gerufen,roepen,,,Verb,rufen,lemma,4427,28.35
2383,untersuchung,onderzoek,,,Substantiv,,direct,4422,28.32
2384,alarm,alarm,,,Substantiv,,direct,4422,28.32
2385,blieb,blijven,,,Verb,bleiben,lemma,4419,28.30
2386,vertraue,vertrouwen,,,Substantiv,vertrauen,lemma,4410,28.24
2387,extra,keuze,,de,Substantiv,,direct,4409,28.23
2388,entspann,ontspannen,,,Verb,entspannen,lemma,4409,28.23
2389,beobachten,waarnemen,bekijken; toezien,,Verb,,direct,4408,28.23
2390,eindruck,indruk,impressie,de,Substantiv,,direct,4406,28.21
2391,tschüs,ciao,Van Doeibergen; adieu; aju,,Grußformel,,direct,4402,28.19
2392,babys,baby,,de,Substantiv,Baby,lemma,4399,28.17
2393,wehtun,pijn doen,,,Verb,,direct,4396,28.15
2394,zog,trekken,,,Verb,ziehen,lemma,4392,28.12
2395,iss,ISS,,,Abkürzung,,direct,4392,28.12
2396,herrgott,goeie hemel,,,Substantiv,,direct,4388,28.10
2397,echten,echt,echte,,Adjektiv,echt,lemma,4385,28.08
2398,springen,springen,,,Verb,,direct,4381,28.05
2399,nackt,naakt,bloot; kaal,,Adjektiv,,direct,4377,28.03
2400,existiert,,,,,,none,4375,28.01
2401,befreien,bevrijden,,,Verb,,direct,4375,28.01
2402,gerät,werktuig,,,Substantiv,,direct,4375,28.01
2403,montag,maandag,,de,Substantiv,,direct,4364,27.94
2404,gezwungen,dwingen,afdwingen,,Verb,zwingen,lemma,4364,27.94
2405,perfekte,perfect,,,Adjektiv,Perfekt,lemma,4364,27.94
2406,erzählst,vertellen,verhalen,,Verb,erzählen,lemma,4363,27.94
2407,bastard,bastaard,,,Substantiv,,direct,4362,27.93
2408,interessieren,interesseren,,,Verb,,direct,4357,27.90
2409,schlechten,slecht,kwaad; zwak; rotten,,Adjektiv,schlecht,lemma,4355,27.89
2410,hank,,,,,,none,4355,27.89
2411,steigt,stijgen,,,Verb,steigen,lemma,4354,27.88
2412,on,,,,,,none,4352,27.87
2413,carl,Karel,,,Substantiv,,direct,4341,27.80
2414,gekriegt,krijgen,ontvangen; vatten; klissen,,Verb,kriegen,lemma,4340,27.79
2415,fliehen,vluchten,,,Verb,,direct,4340,27.79
2416,trug,bedrog,,de,Substantiv,,direct,4335,27.76
2417,freundschaft,vriendschap,,de,Substantiv,,direct,4334,27.75
2418,rate,verhouding,,de,Substantiv,,direct,4331,27.73
2419,papiere,papier,document,,Substantiv,Papier,lemma,4326,27.70
2420,abgeschlossen,omheind stuk land,,,Adjektiv,,direct,4322,27.68
2421,schnauze,snuit,bek; smoel,de,Substantiv,,direct,4320,27.66
2422,beruf,beroep,,,Substantiv,,direct,4318,27.65
2423,gebiet,gebied,,,Substantiv,,direct,4315,27.63
2424,jeff,,,,,,none,4312,27.61
2425,jedoch,echter,,,Konjunktionaladverb,,direct,4312,27.61
2426,beten,bidden,,,Verb,,direct,4308,27.59
2427,verbunden,gerelateerd,,,Adjektiv,,direct,4307,27.58
2428,sprachen,spreken,praten,,Verb,sprechen,lemma,4305,27.57
2429,verräter,verrader,,,Substantiv,,direct,4304,27.56
2430,wichtigste,belangrijk,,,Adjektiv,wichtig,lemma,4303,27.55
2431,prost,proost,,,Interjektion,,direct,4302,27.55
2432,brust,borst,,,Substantiv,,direct,4296,27.51
2433,aufgehört,stoppen,ophouden,,Verb,aufhören,lemma,4293,27.49
2434,kleider,jurk,kleed,,Substantiv,Kleid,lemma,4292,27.48
2435,jacke,jas,,de,Substantiv,,direct,4290,27.47
2436,bestellt,,,,,,none,4287,27.45
2437,herkommen,klaarkomen,,,Verb,,direct,4283,27.43
2438,wild,wild,,,Adjektiv,,direct,4282,27.42
2439,nenne,noemen,aanwijzen,,Verb,nennen,lemma,4282,27.42
2440,angesehen,eerbaar,,,Adjektiv,,direct,4281,27.41
2441,zuhören,luisteren,,,Verb,,direct,4278,27.39
2442,trennen,scheiden,,,Verb,,direct,4272,27.35
2443,schlafzimmer,slaapkamer,,,Substantiv,,direct,4271,27.35
2444,vorschlag,voorstel,,,Substantiv,,direct,4268,27.33
2445,meins,mijn,,,Possessivpronomen,mein,lemma,4266,27.32
2446,gift,gif,vergif,,Substantiv,,direct,4264,27.30
2447,ton,klei,toon; pijpaarde,,Substantiv,,direct,4264,27.30
2448,vermissen,missen,betreuren,,Verb,,direct,4258,27.27
2449,angekommen,aankomen,,,Verb,ankommen,lemma,4258,27.27
2450,beantworten,beantwoorden,,,Verb,,direct,4255,27.25
2451,deutlich,duidelijk,,,Adjektiv,,direct,4253,27.23
2452,träumen,dromen,,,Verb,,direct,4252,27.23
2453,verwirrt,in de war,,,Adjektiv,,direct,4251,27.22
2454,akten,dossier,akte,,Substantiv,Akte,lemma,4250,27.21
2455,riskieren,riskeren,risqueren,,Verb,,direct,4246,27.19
2456,victor,,,,,,none,4234,27.11
2457,find,vinden,,,Verb,finden,lemma,4232,27.10
2458,erkannt,herkennen,onderkennen,,Verb,erkennen,lemma,4227,27.07
2459,beerdigung,begrafenis,,,Substantiv,,direct,4227,27.07
2460,müll,afval,,de/het,Substantiv,,direct,4223,27.04
2461,weisst,,,,,,none,4222,27.03
2462,möge,mogen,,,Verb,mögen,lemma,4222,27.03
2463,stellte,plaatsen,stellen; vragen,,Verb,stellen,lemma,4221,27.03
2464,mitte,centrum,,,Substantiv,,direct,4219,27.02
2465,erleben,beleven,ervaren; kennen,,Verb,,direct,4217,27.00
2466,geburt,geboorte,bevalling,de,Substantiv,,direct,4213,26.98
2467,decke,deken,plafond,de,Substantiv,,direct,4213,26.98
2468,wege,weg,,de,Substantiv,Weg,lemma,4207,26.94
2469,schritte,schrijden,,,Verb,schreiten,lemma,4205,26.93
2470,gibts,,,,,,none,4201,26.90
2471,gemeldet,afkomen,,,Verb,melden,lemma,4199,26.89
2472,hilfst,helpen,bijstaan,,Verb,helfen,lemma,4197,26.87
2473,mittagessen,middageten,,het,Substantiv,,direct,4195,26.86
2474,weint,huilen,blèren; wenen,,Verb,weinen,lemma,4193,26.85
2475,vernichten,vernietigen,,,Verb,,direct,4192,26.84
